<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	00:00:00	2625.13	2634.25	2623.60	2632.76	10735	0	15
2025.01.02	04:00:00	2632.76	2636.34	2630.86	2633.99	20801	0	9
2025.01.02	08:00:00	2634.00	2639.83	2631.00	2635.97	28524	0	7
2025.01.02	12:00:00	2635.97	2647.16	2632.63	2642.93	41285	0	7
2025.01.02	16:00:00	2642.93	2660.45	2640.24	2656.53	55518	0	7
2025.01.02	20:00:00	2656.55	2660.42	2653.74	2657.23	22848	0	7
2025.01.03	00:00:00	2657.58	2662.34	2656.61	2659.34	10798	0	7
2025.01.03	04:00:00	2659.30	2665.18	2655.78	2658.41	19699	0	7
2025.01.03	08:00:00	2658.41	2660.33	2649.80	2653.53	23428	0	7
2025.01.03	12:00:00	2653.49	2659.19	2643.40	2649.77	25049	0	7
2025.01.03	16:00:00	2649.79	2652.57	2638.99	2641.70	45504	0	7
2025.01.03	20:00:00	2641.72	2642.93	2636.50	2639.15	16959	0	8
2025.01.06	00:00:00	2639.59	2647.30	2638.52	2641.25	15041	0	12
2025.01.06	04:00:00	2641.16	2645.26	2631.39	2633.87	23080	0	7
2025.01.06	08:00:00	2633.87	2635.73	2625.07	2632.69	25394	0	7
2025.01.06	12:00:00	2632.69	2649.39	2621.75	2624.09	47434	0	7
2025.01.06	16:00:00	2624.10	2641.29	2614.51	2636.62	59075	0	7
2025.01.06	20:00:00	2636.64	2638.50	2632.84	2635.67	20830	0	7
2025.01.07	00:00:00	2635.44	2641.14	2632.81	2639.00	13540	0	7
2025.01.07	04:00:00	2638.97	2645.69	2636.87	2644.43	18541	0	7
2025.01.07	08:00:00	2644.34	2646.74	2637.94	2641.31	25921	0	7
2025.01.07	12:00:00	2641.27	2664.20	2641.21	2662.39	35525	0	7
2025.01.07	16:00:00	2662.39	2662.99	2641.96	2652.48	62851	0	7
2025.01.07	20:00:00	2652.48	2652.62	2646.99	2648.19	27875	0	7
2025.01.08	00:00:00	2648.24	2651.45	2647.14	2648.73	12581	0	8
2025.01.08	04:00:00	2648.76	2650.70	2645.14	2650.03	16785	0	8
2025.01.08	08:00:00	2650.05	2655.02	2648.82	2653.46	22168	0	7
2025.01.08	12:00:00	2653.51	2660.24	2645.80	2660.16	36273	0	7
2025.01.08	16:00:00	2660.18	2670.00	2649.39	2655.48	54370	0	7
2025.01.08	20:00:00	2655.48	2664.01	2651.46	2661.40	29193	0	7
2025.01.09	00:00:00	2662.32	2663.06	2657.22	2658.47	11251	0	7
2025.01.09	04:00:00	2658.47	2662.07	2655.48	2658.31	15693	0	7
2025.01.09	08:00:00	2658.30	2666.85	2658.29	2664.86	30716	0	7
2025.01.09	12:00:00	2664.90	2678.22	2664.34	2672.57	38707	0	7
2025.01.09	16:00:00	2672.57	2675.65	2662.59	2665.84	40882	0	7
2025.01.09	20:00:00	2665.84	2672.60	2664.98	2670.51	16706	0	7
2025.01.10	00:00:00	2670.30	2671.89	2668.40	2670.93	10291	0	7
2025.01.10	04:00:00	2670.93	2675.84	2670.40	2674.85	16857	0	7
2025.01.10	08:00:00	2674.85	2682.45	2673.36	2678.40	30588	0	7
2025.01.10	12:00:00	2678.48	2683.84	2663.73	2682.53	45314	0	7
2025.01.10	16:00:00	2682.48	2697.97	2680.72	2695.95	87438	0	7
2025.01.10	20:00:00	2695.95	2697.17	2684.53	2689.26	35748	0	7
2025.01.13	00:00:00	2689.14	2693.24	2679.29	2685.58	21487	0	7
2025.01.13	04:00:00	2685.59	2690.79	2683.16	2686.79	27434	0	7
2025.01.13	08:00:00	2686.86	2691.28	2683.43	2684.82	26075	0	7
2025.01.13	12:00:00	2684.82	2684.89	2663.95	2669.15	40011	0	7
2025.01.13	16:00:00	2669.15	2674.14	2659.26	2660.80	45289	0	7
2025.01.13	20:00:00	2660.81	2663.82	2656.80	2663.47	23404	0	7
2025.01.14	00:00:00	2663.82	2672.04	2663.82	2670.65	16054	0	7
2025.01.14	04:00:00	2670.65	2675.19	2667.31	2668.47	23173	0	7
2025.01.14	08:00:00	2668.52	2674.44	2664.79	2667.18	29071	0	7
2025.01.14	12:00:00	2667.20	2674.30	2660.77	2662.89	39594	0	7
2025.01.14	16:00:00	2662.91	2673.96	2659.91	2668.97	55862	0	7
2025.01.14	20:00:00	2668.96	2678.10	2666.73	2677.80	21845	0	7
2025.01.15	00:00:00	2676.56	2677.18	2669.82	2669.92	8634	0	7
2025.01.15	04:00:00	2669.91	2679.22	2669.32	2679.22	16446	0	7
2025.01.15	08:00:00	2679.21	2688.56	2679.04	2685.75	25954	0	7
2025.01.15	12:00:00	2685.78	2694.08	2682.10	2693.75	46174	0	7
2025.01.15	16:00:00	2693.75	2695.94	2676.67	2692.62	58091	0	7
2025.01.15	20:00:00	2692.73	2697.36	2691.00	2696.35	22913	0	7
2025.01.16	00:00:00	2694.99	2702.15	2692.87	2696.05	18831	0	7
2025.01.16	04:00:00	2696.04	2698.59	2693.70	2694.64	22315	0	7
2025.01.16	08:00:00	2694.67	2706.04	2689.93	2705.49	28349	0	7
2025.01.16	12:00:00	2705.48	2718.26	2700.13	2715.25	35350	0	7
2025.01.16	16:00:00	2715.27	2724.83	2712.50	2721.67	56142	0	7
2025.01.16	20:00:00	2721.67	2723.19	2712.32	2714.37	22816	0	7
2025.01.17	00:00:00	2714.00	2715.96	2709.78	2714.56	13357	0	7
2025.01.17	04:00:00	2714.61	2717.36	2711.11	2711.50	20458	0	7
2025.01.17	08:00:00	2711.50	2714.51	2703.98	2704.94	28147	0	7
2025.01.17	12:00:00	2704.94	2712.09	2702.93	2705.09	42012	0	7
2025.01.17	16:00:00	2705.09	2717.30	2702.76	2712.56	48829	0	7
2025.01.17	20:00:00	2712.56	2713.30	2699.09	2702.57	22062	0	7
2025.01.20	00:00:00	2701.02	2702.94	2689.31	2693.75	20128	0	7
2025.01.20	04:00:00	2693.82	2707.47	2693.65	2707.33	27326	0	7
2025.01.20	08:00:00	2707.26	2713.69	2702.85	2705.95	26574	0	7
2025.01.20	12:00:00	2705.91	2712.40	2701.86	2704.96	41527	0	7
2025.01.20	16:00:00	2704.95	2711.95	2703.33	2707.22	39753	0	7
2025.01.20	20:00:00	2707.28	2711.00	2705.31	2705.71	5250	0	7
2025.01.21	00:00:00	2707.34	2719.22	2702.80	2717.92	25366	0	7
2025.01.21	04:00:00	2717.89	2729.03	2717.72	2726.02	36077	0	7
2025.01.21	08:00:00	2726.02	2732.82	2717.78	2721.24	42027	0	7
2025.01.21	12:00:00	2721.28	2730.01	2716.43	2726.22	42087	0	7
2025.01.21	16:00:00	2726.24	2745.91	2725.28	2740.19	46469	0	7
2025.01.21	20:00:00	2740.18	2745.86	2739.87	2745.08	18916	0	7
2025.01.22	00:00:00	2743.34	2749.87	2741.75	2748.02	17617	0	7
2025.01.22	04:00:00	2747.93	2758.63	2746.30	2758.19	26959	0	7
2025.01.22	08:00:00	2758.19	2762.16	2745.51	2758.38	38722	0	7
2025.01.22	12:00:00	2758.39	2763.35	2750.97	2757.73	32419	0	7
2025.01.22	16:00:00	2757.73	2760.25	2750.34	2756.37	44764	0	7
2025.01.22	20:00:00	2756.37	2759.33	2754.56	2756.23	17276	0	7
2025.01.23	00:00:00	2754.87	2756.36	2750.55	2752.61	13403	0	7
2025.01.23	04:00:00	2752.61	2754.85	2749.48	2752.02	21030	0	7
2025.01.23	08:00:00	2751.97	2755.44	2740.85	2745.79	29866	0	7
2025.01.23	12:00:00	2745.79	2754.40	2735.82	2741.53	46531	0	7
2025.01.23	16:00:00	2741.56	2758.78	2740.21	2757.57	49233	0	7
2025.01.23	20:00:00	2757.56	2758.11	2751.31	2754.30	22237	0	7
2025.01.24	00:00:00	2753.72	2762.45	2753.52	2762.21	13656	0	7
2025.01.24	04:00:00	2762.22	2777.23	2762.21	2775.20	44601	0	7
2025.01.24	08:00:00	2775.20	2778.19	2769.87	2772.69	36359	0	7
2025.01.24	12:00:00	2772.69	2784.56	2771.52	2782.31	30605	0	7
2025.01.24	16:00:00	2782.35	2785.87	2769.96	2773.24	51032	0	7
2025.01.24	20:00:00	2773.24	2775.20	2770.39	2771.56	17487	0	7
2025.01.27	00:00:00	2765.37	2772.48	2762.73	2762.87	16756	0	7
2025.01.27	04:00:00	2762.87	2763.69	2752.74	2753.06	30402	0	7
2025.01.27	08:00:00	2753.07	2764.75	2747.26	2763.19	22999	0	7
2025.01.27	12:00:00	2763.19	2771.78	2752.14	2757.50	31346	0	7
2025.01.27	16:00:00	2757.56	2757.82	2730.46	2733.62	36028	0	7
2025.01.27	20:00:00	2733.61	2743.91	2733.00	2740.91	21380	0	7
2025.01.28	00:00:00	2740.75	2745.33	2739.37	2741.34	11782	0	7
2025.01.28	04:00:00	2741.34	2744.86	2737.81	2741.72	22916	0	7
2025.01.28	08:00:00	2741.71	2744.86	2734.78	2743.26	20462	0	7
2025.01.28	12:00:00	2743.26	2749.37	2740.84	2748.65	22773	0	7
2025.01.28	16:00:00	2748.62	2759.96	2748.62	2759.64	32154	0	7
2025.01.28	20:00:00	2759.64	2764.93	2759.28	2763.49	16985	0	7
2025.01.29	00:00:00	2762.83	2766.12	2762.09	2763.58	9448	0	7
2025.01.29	04:00:00	2763.61	2765.53	2760.00	2760.54	20799	0	7
2025.01.29	08:00:00	2760.56	2766.02	2757.25	2762.67	28161	0	7
2025.01.29	12:00:00	2762.66	2763.29	2752.09	2758.59	32514	0	7
2025.01.29	16:00:00	2758.65	2760.99	2748.21	2752.75	42061	0	7
2025.01.29	20:00:00	2752.78	2759.32	2744.61	2759.02	39231	0	7
2025.01.30	00:00:00	2757.93	2762.51	2757.93	2760.14	8421	0	7
2025.01.30	04:00:00	2760.14	2763.34	2758.75	2760.54	13608	0	7
2025.01.30	08:00:00	2760.54	2776.51	2760.13	2774.10	25861	0	7
2025.01.30	12:00:00	2774.07	2785.92	2773.76	2785.65	31485	0	7
2025.01.30	16:00:00	2785.70	2798.31	2779.96	2795.56	63882	0	7
2025.01.30	20:00:00	2795.60	2798.29	2787.41	2794.10	31169	0	7
2025.01.31	00:00:00	2792.86	2799.41	2791.20	2796.31	12375	0	7
2025.01.31	04:00:00	2796.31	2798.28	2793.80	2795.54	21055	0	7
2025.01.31	08:00:00	2795.53	2800.86	2791.53	2793.57	26761	0	7
2025.01.31	12:00:00	2793.57	2808.45	2790.86	2806.18	33118	0	7
2025.01.31	16:00:00	2806.30	2817.13	2803.01	2808.69	49076	0	7
2025.01.31	20:00:00	2808.66	2808.86	2794.13	2800.36	41840	0	7
2025.02.03	00:00:00	2801.33	2803.58	2778.19	2782.12	28510	0	7
2025.02.03	04:00:00	2782.11	2785.04	2772.04	2782.98	34686	0	7
2025.02.03	08:00:00	2782.96	2800.75	2782.80	2796.24	40292	0	7
2025.02.03	12:00:00	2796.22	2811.84	2792.78	2810.93	36352	0	7
2025.02.03	16:00:00	2810.98	2830.49	2810.05	2817.01	54922	0	7
2025.02.03	20:00:00	2817.01	2822.87	2812.22	2813.34	28272	0	7
2025.02.04	00:00:00	2812.27	2824.14	2811.97	2823.27	10253	0	7
2025.02.04	04:00:00	2823.28	2824.44	2813.29	2815.74	34332	0	7
2025.02.04	08:00:00	2815.70	2821.80	2807.08	2820.48	39988	0	7
2025.02.04	12:00:00	2820.48	2837.04	2812.59	2831.49	40324	0	7
2025.02.04	16:00:00	2831.48	2845.22	2828.78	2843.86	49178	0	7
2025.02.04	20:00:00	2843.89	2844.95	2840.85	2841.82	19609	0	7
2025.02.05	00:00:00	2840.77	2849.11	2839.55	2844.32	18026	0	7
2025.02.05	04:00:00	2844.32	2860.37	2843.74	2859.22	20429	0	7
2025.02.05	08:00:00	2859.22	2872.04	2854.90	2870.24	25686	0	7
2025.02.05	12:00:00	2870.26	2876.90	2858.42	2861.69	37791	0	7
2025.02.05	16:00:00	2861.62	2882.21	2860.57	2872.90	49132	0	7
2025.02.05	20:00:00	2872.90	2873.43	2859.82	2866.05	27739	0	7
2025.02.06	00:00:00	2866.84	2871.65	2863.62	2871.47	12366	0	7
2025.02.06	04:00:00	2871.47	2873.17	2864.26	2867.96	19686	0	7
2025.02.06	08:00:00	2867.97	2871.18	2848.71	2859.17	31450	0	7
2025.02.06	12:00:00	2859.17	2870.26	2855.40	2856.65	37524	0	7
2025.02.06	16:00:00	2856.58	2859.65	2834.12	2852.18	47368	0	7
2025.02.06	20:00:00	2852.17	2857.16	2849.78	2856.55	20615	0	7
2025.02.07	00:00:00	2855.57	2868.14	2855.57	2866.12	11741	0	7
2025.02.07	04:00:00	2866.12	2870.24	2861.95	2862.34	17733	0	7
2025.02.07	08:00:00	2862.31	2870.58	2858.80	2868.73	26456	0	7
2025.02.07	12:00:00	2868.86	2870.18	2852.35	2862.56	37196	0	7
2025.02.07	16:00:00	2862.65	2886.64	2853.27	2859.88	56751	0	7
2025.02.07	20:00:00	2859.84	2864.95	2858.97	2861.30	20145	0	7
2025.02.10	00:00:00	2860.43	2876.53	2859.75	2871.62	15487	0	7
2025.02.10	04:00:00	2871.61	2879.78	2871.03	2879.14	20040	0	7
2025.02.10	08:00:00	2879.20	2903.09	2878.76	2902.74	29988	0	7
2025.02.10	12:00:00	2902.80	2911.05	2898.17	2901.00	36819	0	7
2025.02.10	16:00:00	2900.91	2911.49	2896.20	2903.19	36541	0	7
2025.02.10	20:00:00	2903.17	2908.25	2900.72	2907.52	17526	0	7
2025.02.11	00:00:00	2910.64	2935.93	2909.47	2933.85	18858	0	7
2025.02.11	04:00:00	2933.88	2942.62	2905.51	2922.62	36462	0	7
2025.02.11	08:00:00	2922.56	2929.32	2902.79	2903.05	35061	0	7
2025.02.11	12:00:00	2903.05	2906.93	2881.49	2896.45	46046	0	7
2025.02.11	16:00:00	2896.48	2908.55	2890.36	2905.51	50795	0	7
2025.02.11	20:00:00	2905.52	2907.20	2893.95	2899.03	23999	0	7
2025.02.12	00:00:00	2897.68	2900.57	2883.45	2893.22	18605	0	7
2025.02.12	04:00:00	2893.22	2897.77	2883.76	2886.25	28462	0	7
2025.02.12	08:00:00	2886.25	2895.67	2885.60	2886.63	32970	0	7
2025.02.12	12:00:00	2886.64	2889.82	2863.42	2884.66	41681	0	7
2025.02.12	16:00:00	2884.69	2909.14	2881.75	2902.79	50093	0	7
2025.02.12	20:00:00	2902.79	2904.33	2893.49	2903.99	27205	0	7
2025.02.13	00:00:00	2904.81	2908.83	2900.34	2905.85	12905	0	7
